id	filename	md5	size	state
152cf1fb-b58a-4f45-990a-68ab56349c9b	152cf1fb-b58a-4f45-990a-68ab56349c9b/a3e5cda5-f468-48f3-92fa-864b8bbbecdc.FPKM-UQ.txt.gz	551a62d23051f09a49ff6b2beb721952	503147	validated
15e7820b-44b8-45eb-b76d-b84753c22b81	15e7820b-44b8-45eb-b76d-b84753c22b81/378f6079-6c4e-415b-8b5e-6c3c72e513b3.FPKM-UQ.txt.gz	5df5320cdf6c081692e3a4d9b276fc53	513652	validated
1addd36b-aabb-4387-b1ba-c12a0a3ace1b	1addd36b-aabb-4387-b1ba-c12a0a3ace1b/3462c776-160b-4ffc-9be8-69b08abf9780.FPKM-UQ.txt.gz	b3f22838de6ccbb7df9706ceb5a9fb8c	556148	validated
1d4e4814-5124-4389-9f51-f26a591d0b36	1d4e4814-5124-4389-9f51-f26a591d0b36/ceb8fbdf-dd36-4273-b17c-0ee2eca493c5.FPKM-UQ.txt.gz	3be13bfd4d50b2e0c10b696295c96ca1	496492	validated
1da10576-f84c-47c5-aa66-cf016b9e94cb	1da10576-f84c-47c5-aa66-cf016b9e94cb/eaff8d68-43f9-48bf-ad8b-8d0f452d3775.FPKM-UQ.txt.gz	cc3a9629e949a5e8d97ed460aa57bdbb	536420	validated
1e1632ef-a553-4a76-a5d6-e22200ba9cde	1e1632ef-a553-4a76-a5d6-e22200ba9cde/44ed61ae-e74e-40d7-98ce-7803e040567f.FPKM-UQ.txt.gz	e7b183cd3d2e255ab9106422aafb1f41	546914	validated
1f9f2546-b5e7-41ba-b2e8-e6ed02a7729c	1f9f2546-b5e7-41ba-b2e8-e6ed02a7729c/02654be6-2049-4000-a0ac-c26f7ba6f0c9.FPKM-UQ.txt.gz	7b1f2d565e416f7f20efa75ab3043182	520254	validated
1fb9a6be-1c3d-4fad-ba51-f95a600d23d1	1fb9a6be-1c3d-4fad-ba51-f95a600d23d1/de55dea1-658a-4a84-ae5c-fc554e9c4213.FPKM-UQ.txt.gz	9d39dbf5651c033f970107c206dcc69f	536845	validated
20086cc7-b3be-497d-b8e9-eca7e2c609c2	20086cc7-b3be-497d-b8e9-eca7e2c609c2/820e3299-bd67-4ba8-a637-32d31205e120.FPKM-UQ.txt.gz	f76865c3f8c61f33cd00717bedc1f789	512864	validated
203021da-f3f9-4869-8856-3c49196470b7	203021da-f3f9-4869-8856-3c49196470b7/6b015617-e989-4c20-b81f-15bf94d83a09.FPKM-UQ.txt.gz	4add3dd45c475aa15f038b9d4a8827ca	525653	validated
207b051c-4f25-495f-aba8-11bdb2bf3984	207b051c-4f25-495f-aba8-11bdb2bf3984/effc6b43-7853-4b65-b6a1-265ea15f2846.FPKM-UQ.txt.gz	2cd7c03b1851caea6ac6edf7c30daa82	549830	validated
210cf1b6-2a5f-4ca4-aa87-68dfa1c5e2e0	210cf1b6-2a5f-4ca4-aa87-68dfa1c5e2e0/eb80bbc4-7186-4872-86df-90629a53ecb1.FPKM-UQ.txt.gz	3471ecb3881c7c6f5926faf67c26314b	562281	validated
217a13ab-87c7-4f46-aacf-3b3973b9d7de	217a13ab-87c7-4f46-aacf-3b3973b9d7de/e87cfbaa-791e-4a6b-8ec8-28df636e7cdc.FPKM-UQ.txt.gz	d489c07bcd493f900a45d0edc44d896f	528804	validated
23cb8e98-7bbb-4ca2-9530-e72dc72c6021	23cb8e98-7bbb-4ca2-9530-e72dc72c6021/7f7121ff-1399-40da-a792-b7c31bc76570.FPKM-UQ.txt.gz	7e8df107c954ea73bef0087456c95efa	541089	validated
25827f74-5138-4ccd-bae8-cc7b064d03d9	25827f74-5138-4ccd-bae8-cc7b064d03d9/8880fb74-0849-422e-bfd5-4a38c5a0a906.FPKM-UQ.txt.gz	8dc31abb9187fff0c9133bc31aef2666	528302	validated
2604ddd4-3af7-4c7b-a2a2-60b363b827c7	2604ddd4-3af7-4c7b-a2a2-60b363b827c7/76c6e110-9a94-4fcf-a534-a21ba4698f86.FPKM-UQ.txt.gz	1e377eb0a6f3ab680bf759707b56a619	536937	validated
26ba900e-129b-471e-82c3-2527e94e5dfa	26ba900e-129b-471e-82c3-2527e94e5dfa/a504b1cd-7d40-40e8-8d58-267c680768e5.FPKM-UQ.txt.gz	3c1c0a1dca9eb3f9db4c35f02d901b30	559988	validated
290aeca4-a4d5-4bbd-a955-e4ed3efb9469	290aeca4-a4d5-4bbd-a955-e4ed3efb9469/c12052d7-f5ae-4fd5-a36b-ac0ce21179a6.FPKM-UQ.txt.gz	39d4e48e52ebfa8ac4d22e1e4410997e	544078	validated
2b28bbc1-0dc3-42a6-95ac-2aeb7d81d6eb	2b28bbc1-0dc3-42a6-95ac-2aeb7d81d6eb/8af78255-e426-4a5d-a997-84946f5e459c.FPKM-UQ.txt.gz	b8c1e23094eb22ce137df68f1c233d86	538065	validated
2ee97c29-8186-4f86-a841-b7160a3a2544	2ee97c29-8186-4f86-a841-b7160a3a2544/f728fc58-a4b9-4525-971a-a74a7d676695.FPKM-UQ.txt.gz	210e600f2373cbc0c3aea1a7884bcc45	546181	validated
2f56140a-93ae-42ea-b4d0-df00077e8bef	2f56140a-93ae-42ea-b4d0-df00077e8bef/fe09042c-c233-4f10-b8ad-d5da80aaf60d.FPKM-UQ.txt.gz	15de98a4700436db52950738df78ba8b	537053	validated
308f982c-4359-4ce7-9408-8d35c2049226	308f982c-4359-4ce7-9408-8d35c2049226/2afdb646-75ca-4bc9-9c12-30a27f994ecd.FPKM-UQ.txt.gz	49d581c09a1584f45d166adad20ff3b2	545633	validated
30dd76a1-895d-473a-a26b-97b4d18f4360	30dd76a1-895d-473a-a26b-97b4d18f4360/fcc54ed3-5ba9-461f-a3a5-72b8eb89e4da.FPKM-UQ.txt.gz	a4b87894ec938ff84d678d66d41a15c4	541532	validated
33e0a54f-b44f-42e9-a613-aff395ef1518	33e0a54f-b44f-42e9-a613-aff395ef1518/04be0c6b-c75f-40cf-82c0-c14af4f9e456.FPKM-UQ.txt.gz	716203c78ec2142e8951e2adc9ebc3c2	527853	validated
3481cb59-e025-4bbb-80a8-11285a5bd8aa	3481cb59-e025-4bbb-80a8-11285a5bd8aa/19f1375f-51f2-4f4c-88fe-6fc84c37e5b6.FPKM-UQ.txt.gz	3b0288dfdc71ebd88d878f0277540061	533043	validated
3530e01d-a9e0-458e-a5c4-0a5f989e149d	3530e01d-a9e0-458e-a5c4-0a5f989e149d/e9a0fc7b-94ea-477d-918a-1ef80fefefcd.FPKM-UQ.txt.gz	502794553ede471d7ee72bed01d7a012	529838	validated
353327d4-2866-4529-bfb1-e1913ea6c827	353327d4-2866-4529-bfb1-e1913ea6c827/0e30bd18-8e8b-4c52-aace-b5587c6df51a.FPKM-UQ.txt.gz	372c9263800522a461a9cc70c2b08e5f	504889	validated
373f28fa-c278-4904-b769-6a3ee9ba1d84	373f28fa-c278-4904-b769-6a3ee9ba1d84/1a860864-2ba1-46ad-ad36-018a7b0ec08e.FPKM-UQ.txt.gz	a58407fc92adf24120263ddc6e389200	537534	validated
3a4c66f8-1dca-4d2e-9f53-00e8dcf15a16	3a4c66f8-1dca-4d2e-9f53-00e8dcf15a16/fe179a60-5e81-48c1-b437-7c38ed910ba8.FPKM-UQ.txt.gz	c3f62c48eb76624f09d7a2fcf19046cd	540904	validated
3a93f504-754e-49c4-b582-cd9b177d781c	3a93f504-754e-49c4-b582-cd9b177d781c/63a30223-e2e9-45bc-bc42-c00f9202b493.FPKM-UQ.txt.gz	609fcc042730b5c1591ee1fc5a4e4bf9	521915	validated
3ba8f19d-1274-4131-8c7a-d581565bd710	3ba8f19d-1274-4131-8c7a-d581565bd710/37889f67-62a8-483b-97af-d8391806ede9.FPKM-UQ.txt.gz	3e2174edb59121ebe4e082dae9c29ac4	530084	validated
3d5f1a2f-2e86-436c-845a-911bd453177d	3d5f1a2f-2e86-436c-845a-911bd453177d/2b421eac-4980-4b9c-bddd-ad0818ec15e6.FPKM-UQ.txt.gz	93d115762fdf69047bb5654a9aa53410	522605	validated
3d62abed-7939-4282-861f-74ac27e299a1	3d62abed-7939-4282-861f-74ac27e299a1/da09dd77-0b91-4795-bd80-f90a9784b65c.FPKM-UQ.txt.gz	9e48cccf688d61c12e29a3aab33b8860	531754	validated
426c6025-5a61-4edd-86a1-8d532cc5e02e	426c6025-5a61-4edd-86a1-8d532cc5e02e/6508275a-e712-424e-bdaf-b9e1b07b0f95.FPKM-UQ.txt.gz	315160f20d7a45fe474183c69aa62918	527584	validated
4371d794-59bf-43a3-8d9e-82568b447ee7	4371d794-59bf-43a3-8d9e-82568b447ee7/8b4a22e2-e19a-4f8c-9f8f-a19f69fc8cbf.FPKM-UQ.txt.gz	b33b121704864d41ed2840d7c3894a19	513110	validated
44b95702-6ad7-43f8-b0a4-ab734fdb074f	44b95702-6ad7-43f8-b0a4-ab734fdb074f/6a7c7af6-b3b4-44a1-93bb-79a143db53d0.FPKM-UQ.txt.gz	953df0afeebdc9f6096251ddc4d5dad7	519473	validated
44ca574b-60c9-4952-b5fc-2ee26a5cda1a	44ca574b-60c9-4952-b5fc-2ee26a5cda1a/2fcb9b43-8a11-4730-b57e-4e9fe9013f1c.FPKM-UQ.txt.gz	dccf63e40c2114d4cf245278cfcc2a32	542862	validated
456800bd-750d-4d2c-b88b-b98745cafac1	456800bd-750d-4d2c-b88b-b98745cafac1/f0f7d061-ace0-4dbd-90ec-df8f5985a7a2.FPKM-UQ.txt.gz	af6284524328d0448ef591fe670843d8	543868	validated
47b60853-0938-4175-ba86-834684eeea3c	47b60853-0938-4175-ba86-834684eeea3c/f6a99d72-7ef2-4c9c-880c-a26bd5fef9c7.FPKM-UQ.txt.gz	99cd1af70e2019caaf411752d3bc9776	520517	validated
49dd4040-ca14-4881-b860-e5128542275f	49dd4040-ca14-4881-b860-e5128542275f/bc8b9c8b-d288-436e-9e33-8c31a9575ce7.FPKM-UQ.txt.gz	3ba2db25be4e724537d3f3938977ddf1	551532	validated
4ae4329c-6e10-47bb-875f-82ff32d5bf08	4ae4329c-6e10-47bb-875f-82ff32d5bf08/b0717300-0735-4451-bba1-7ce0fc0d4ac6.FPKM-UQ.txt.gz	02dec4a2e7f9c373184bd084d9839a04	546337	validated
4b6ff3d9-da08-4581-a66e-34609b00e66f	4b6ff3d9-da08-4581-a66e-34609b00e66f/c6045584-592e-412f-974a-c8ae2d4bb817.FPKM-UQ.txt.gz	d702140de473492d090a438a9e41e061	526999	validated
